instance_id	repo	fusion_rank	kg_rank	path_len	entity	entity_type	file_path
astropy__astropy-13236	astropy__astropy	18	9	2	astropy.table.table.Table._convert_data_to_col(self, data, copy, default_name, dtype, name)	method	astropy/table/table.py
astropy__astropy-13579	astropy__astropy	12	2	3	astropy.wcs.wcsapi.wrappers.sliced_wcs.SlicedLowLevelWCS.world_to_pixel_values(self)	method	astropy/wcs/wcsapi/wrappers/sliced_wcs.py
astropy__astropy-14365	astropy__astropy	8	2	2	astropy.io.ascii.qdp._get_tables_from_qdp_file(qdp_file, input_colnames, delimiter)	method	astropy/io/ascii/qdp.py
astropy__astropy-7166	astropy__astropy	6	1	3	astropy.utils.misc.InheritDocstrings.__init__(cls, name, bases, dct)	method	astropy/utils/misc.py
astropy__astropy-7336	astropy__astropy	5	3	3	astropy.units.decorators.QuantityInput.__call__(self, wrapped_function)	method	astropy/units/decorators.py
django__django-10914	django__django	12	2	2	django.conf.global_settings.FILE_UPLOAD_PERMISSIONS = None	method	django/conf/global_settings.py
django__django-10999	django__django	3	3	2	"django.utils.dateparse.standard_duration_re = re.compile(
    r'^'
    r'(?:(?P<days>-?\d+) (days?, )?)?'
    r'((?:(?P<hours>-?\d+):)(?=\d+:\d+))?'
    r'(?:(?P<minutes>-?\d+):)?'
    r'(?P<seconds>-?\d+)'
    r'(?:\.(?P<microseconds>\d{1,6})\d{0,6})?'
    r'$'
)"	method	django/utils/dateparse.py
django__django-11099	django__django	8	6	3	django.contrib.auth.validators.UnicodeUsernameValidator.regex = ^[\w.@+-]+$	method	django/contrib/auth/validators.py
django__django-11400	django__django	4	2	3	django.contrib.admin.filters.RelatedFieldListFilter.field_choices(self, field, request, model_admin)	method	django/contrib/admin/filters.py
django__django-11532	django__django	7	4	2	django.core.mail.message.sanitize_address(addr, encoding)	method	django/core/mail/message.py
django__django-11728	django__django	6	1	2	django.contrib.admindocs.utils.replace_named_groups(pattern)	method	django/contrib/admindocs/utils.py
django__django-11880	django__django	1	1	3	django.forms.fields.Field.__deepcopy__(self, memo)	method	django/forms/fields.py
django__django-11951	django__django	3	3	3	django.db.models.query.QuerySet._batched_insert(self, objs, fields, batch_size, ignore_conflicts)	method	django/db/models/query.py
django__django-12262	django__django	6	2	2	django.template.library.parse_bits(parser, bits, params, varargs, varkw, defaults, kwonly, kwonly_defaults, takes_context, name)	method	django/template/library.py
django__django-12419	django__django	9	2	2	django.conf.global_settings.SECURE_REFERRER_POLICY = None	method	django/conf/global_settings.py
django__django-12774	django__django	7	7	3	django.db.models.query.QuerySet.in_bulk(self, id_list)	method	django/db/models/query.py
django__django-13023	django__django	3	2	3	django.db.models.fields.__init__.DecimalField.to_python(self, value)	method	django/db/models/fields/__init__.py
django__django-13344	django__django	16	6	3	django.middleware.security.SecurityMiddleware.__init__(self, get_response)	method	django/middleware/security.py
django__django-13658	django__django	9	9	3	django.core.management.__init__.ManagementUtility.execute(self)	method	django/core/management/__init__.py
django__django-14170	django__django	8	3	3	django.db.models.lookups.YearLookup.year_lookup_bounds(self, connection, year)	method	django/db/models/lookups.py
django__django-14404	django__django	2	1	3	django.contrib.admin.sites.AdminSite.catch_all_view(self, request, url)	method	django/contrib/admin/sites.py
django__django-14672	django__django	7	7	3	django.db.models.fields.reverse_related.ManyToManyRel.identity(self)	method	django/db/models/fields/reverse_related.py
django__django-14787	django__django	4	4	2	django.utils.decorators._multi_decorate(decorators, method)	method	django/utils/decorators.py
django__django-15252	django__django	11	6	3	django.db.migrations.executor.MigrationExecutor.migrate(self, targets, plan, state, fake, fake_initial)	method	django/db/migrations/executor.py
django__django-15503	django__django	11	4	3	django.db.models.fields.json.HasKeyLookup.as_sqlite(self, compiler, connection)	method	django/db/models/fields/json.py
django__django-16082	django__django	9	2	2	"django.db.models.expressions._connector_combinations = [
    # Numeric operations - operands of same type.
    {
        connector: [
            (fields.IntegerField, fields.IntegerField, fields.IntegerField),
            (fields.FloatField, fields.FloatField, fields.FloatField),
            (fields.DecimalField, fields.DecimalField, fields.DecimalField),
        ]
        for connector in (
            Combinable.ADD,
            Combinable.SUB,
            Combinable.MUL,
            # Behavior for DIV with integer arguments follows Postgres/SQLite,
            # not MySQL/Oracle.
            Combinable.DIV,
            Combinable.MOD,
            Combinable.POW,
        )
    },
    # Numeric operations - operands of different type.
    {
        connector: [
            (fields.IntegerField, fields.DecimalField, fields.DecimalField),
            (fields.DecimalField, fields.IntegerField, fields.DecimalField),
            (fields.IntegerField, fields.FloatField, fields.FloatField),
            (fields.FloatField, fields.IntegerField, fields.FloatField),
        ]
        for connector in (
            Combinable.ADD,
            Combinable.SUB,
            Combinable.MUL,
            Combinable.DIV,
        )
    },
    # Bitwise operators.
    {
        connector: [
            (fields.IntegerField, fields.IntegerField, fields.IntegerField),
        ]
        for connector in (
            Combinable.BITAND,
            Combinable.BITOR,
            Combinable.BITLEFTSHIFT,
            Combinable.BITRIGHTSHIFT,
            Combinable.BITXOR,
        )
    },
    # Numeric with NULL.
    {
        connector: [
            (field_type, NoneType, field_type),
            (NoneType, field_type, field_type),
        ]
        for connector in (
            Combinable.ADD,
            Combinable.SUB,
            Combinable.MUL,
            Combinable.DIV,
            Combinable.MOD,
            Combinable.POW,
        )
        for field_type in (fields.IntegerField, fields.DecimalField, fields.FloatField)
    },
    # Date/DateTimeField/DurationField/TimeField.
    {
        Combinable.ADD: [
            # Date/DateTimeField.
            (fields.DateField, fields.DurationField, fields.DateTimeField),
            (fields.DateTimeField, fields.DurationField, fields.DateTimeField),
            (fields.DurationField, fields.DateField, fields.DateTimeField),
            (fields.DurationField, fields.DateTimeField, fields.DateTimeField),
            # DurationField.
            (fields.DurationField, fields.DurationField, fields.DurationField),
            # TimeField.
            (fields.TimeField, fields.DurationField, fields.TimeField),
            (fields.DurationField, fields.TimeField, fields.TimeField),
        ],
    },
    {
        Combinable.SUB: [
            # Date/DateTimeField.
            (fields.DateField, fields.DurationField, fields.DateTimeField),
            (fields.DateTimeField, fields.DurationField, fields.DateTimeField),
            (fields.DateField, fields.DateField, fields.DurationField),
            (fields.DateField, fields.DateTimeField, fields.DurationField),
            (fields.DateTimeField, fields.DateField, fields.DurationField),
            (fields.DateTimeField, fields.DateTimeField, fields.DurationField),
            # DurationField.
            (fields.DurationField, fields.DurationField, fields.DurationField),
            # TimeField.
            (fields.TimeField, fields.DurationField, fields.TimeField),
            (fields.TimeField, fields.TimeField, fields.DurationField),
        ],
    },
]"	method	django/db/models/expressions.py
django__django-16136	django__django	13	10	3	django.views.generic.base.View.http_method_not_allowed(self, request)	method	django/views/generic/base.py
django__django-9296	django__django	1	1	3	django.core.paginator.Paginator.page_range(self)	method	django/core/paginator.py
matplotlib__matplotlib-22871	matplotlib__matplotlib	8	8	3	matplotlib.dates.ConciseDateFormatter.format_ticks(self, values)	method	lib/matplotlib/dates.py
matplotlib__matplotlib-24570	matplotlib__matplotlib	8	8	2	lib.matplotlib.offsetbox._get_aligned_offsets(hd_list, height, align)	method	lib/matplotlib/offsetbox.py
matplotlib__matplotlib-26113	matplotlib__matplotlib	2	2	3	matplotlib.axes._axes.Axes.hexbin(self, x, y, C, gridsize, bins, xscale, yscale, extent, cmap, norm, vmin, vmax, alpha, linewidths, edgecolors, reduce_C_function, mincnt, marginals)	method	lib/matplotlib/axes/_axes.py
matplotlib__matplotlib-26291	matplotlib__matplotlib	19	11	3	matplotlib.lib.mpl_toolkits.axes_grid1.inset_locator.AnchoredLocatorBase.__call__(self, ax, renderer)	method	lib/mpl_toolkits/axes_grid1/inset_locator.py
matplotlib__matplotlib-26342	matplotlib__matplotlib	10	10	3	matplotlib.collections.Collection.set_paths(self, paths)	method	lib/matplotlib/collections.py
mwaskom__seaborn-3187	mwaskom__seaborn	17	7	2	seaborn.utils.locator_to_legend_entries(locator, limits, dtype)	method	seaborn/utils.py
pydata__xarray-4966	pydata__xarray	5	1	3	xarray.coding.variables.UnsignedIntegerCoder.decode(self, variable, name)	method	xarray/coding/variables.py
pytest-dev__pytest-5262	pytest-dev__pytest	11	8	3	pytest.src._pytest.capture.EncodedFile.write(self, obj)	method	src/_pytest/capture.py
pytest-dev__pytest-5631	pytest-dev__pytest	20	19	2	src._pytest.compat.num_mock_patch_args(function)	method	src/_pytest/compat.py
pytest-dev__pytest-7324	pytest-dev__pytest	18	14	2	src._pytest.mark.expression.not_expr(s)	method	src/_pytest/mark/expression.py
scikit-learn__scikit-learn-10297	scikit-learn__scikit-learn	16	14	3	scikit-learn.sklearn.linear_model.ridge.RidgeClassifierCV.fit(self, X, y, sample_weight)	method	sklearn/linear_model/ridge.py
scikit-learn__scikit-learn-12682	scikit-learn__scikit-learn	7	2	2	sklearn.decomposition.dict_learning.sparse_encode(X, dictionary, gram, cov, algorithm, n_nonzero_coefs, alpha, copy_cov, init, max_iter, n_jobs, check_input, verbose, positive)	method	sklearn/decomposition/dict_learning.py
scikit-learn__scikit-learn-12973	scikit-learn__scikit-learn	4	2	3	scikit-learn.sklearn.linear_model.least_angle.LassoLarsIC.fit(self, X, y, copy_X)	method	sklearn/linear_model/least_angle.py
scikit-learn__scikit-learn-13142	scikit-learn__scikit-learn	10	2	3	scikit-learn.sklearn.mixture.base.BaseMixture.fit_predict(self, X, y)	method	sklearn/mixture/base.py
scikit-learn__scikit-learn-13439	scikit-learn__scikit-learn	3	2	3	scikit-learn.sklearn.pipeline.Pipeline.fit_predict(self, X, y)	method	sklearn/pipeline.py
scikit-learn__scikit-learn-13779	scikit-learn__scikit-learn	13	10	3	scikit-learn.sklearn.ensemble.voting._BaseVoting.fit(self, X, y, sample_weight)	method	sklearn/ensemble/voting.py
scikit-learn__scikit-learn-14053	scikit-learn__scikit-learn	3	1	2	sklearn.tree.export.export_text(decision_tree, feature_names, max_depth, spacing, decimals, show_weights)	method	sklearn/tree/export.py
scikit-learn__scikit-learn-14087	scikit-learn__scikit-learn	5	4	3	scikit-learn.sklearn.linear_model.logistic.LogisticRegressionCV.fit(self, X, y, sample_weight)	method	sklearn/linear_model/logistic.py
sphinx-doc__sphinx-7889	sphinx-doc__sphinx	16	10	3	sphinx.ext.autodoc.mock._MockObject.__getitem__(self, key)	method	sphinx/ext/autodoc/mock.py
sphinx-doc__sphinx-8595	sphinx-doc__sphinx	16	9	3	sphinx.ext.autodoc.__init__.ModuleDocumenter.get_object_members(self, want_all)	method	sphinx/ext/autodoc/__init__.py
sympy__sympy-13372	sympy__sympy	4	3	2	sympy.core.evalf.evalf(x, prec, options)	method	sympy/core/evalf.py
sympy__sympy-13647	sympy__sympy	3	3	3	sympy.matrices.common.MatrixShaping._eval_col_insert(self, pos, other)	method	sympy/matrices/common.py
sympy__sympy-16886	sympy__sympy	5	4	2	"sympy.crypto.crypto.morse_char = {'.-': 'A', '-...': 'B', '-.-.': 'C', '-..': 'D', '.': 'E', '..-.': 'F', '--.': 'G', '....': 'H', '..': 'I', '.---': 'J', '-.-': 'K', '.-..': 'L', '--': 'M', '-.': 'N', '---': 'O', '.--.': 'P', '--.-': 'Q', '.-.': 'R', '...': 'S', '-': 'T', '..-': 'U', '...-': 'V', '.--': 'W', '-..-': 'X', '-.--': 'Y', '--..': 'Z', '-----': '0', '----': '1', '..---': '2', '...--': '3', '....-': '4', '.....': '5', '-....': '6', '--...': '7', '---..': '8', '----.': '9', '.-.-.-': '.', '--..--': ',', '---...': ':', '-.-.-.': ';', '..--..': '?', '-....-': '-', '..--.-': '_', '-.--.': '(', '-.--.-': ')', '.----.': ""'"", '-...-': '=', '.-.-.': '+', '-..-.': '/', '.--.-.': '@', '...-..-': '$', '-.-.--': '!'}"	method	sympy/crypto/crypto.py
sympy__sympy-20438	sympy__sympy	7	1	3	sympy.core.relational.Equality._eval_simplify(self)	method	sympy/core/relational.py
sympy__sympy-22456	sympy__sympy	11	2	3	sympy.codegen.ast.String._construct_text(cls, text)	method	sympy/codegen/ast.py
sympy__sympy-23413	sympy__sympy	3	3	2	sympy.polys.matrices.normalforms._hermite_normal_form(A)	method	sympy/polys/matrices/normalforms.py
sympy__sympy-23534	sympy__sympy	16	16	2	sympy.core.symbol.symbols(names)	method	sympy/core/symbol.py
sympy__sympy-24213	sympy__sympy	1	1	3	sympy.physics.units.unitsystem.UnitSystem._collect_factor_and_dimension(self, expr)	method	sympy/physics/units/unitsystem.py
sympy__sympy-24443	sympy__sympy	3	3	2	sympy.combinatorics.homomorphisms._check_homomorphism(domain, codomain, images)	method	sympy/combinatorics/homomorphisms.py
sympy__sympy-24661	sympy__sympy	12	9	3	sympy.parsing.sympy_parser.EvaluateFalseTransformer.visit_BinOp(self, node)	method	sympy/parsing/sympy_parser.py
