observation_id	outcome	path_length	path_present	source
path_001	correct	1	1	legacy_path_correct_figure_counts
path_002	correct	1	1	legacy_path_correct_figure_counts
path_003	correct	1	1	legacy_path_correct_figure_counts
path_004	correct	1	1	legacy_path_correct_figure_counts
path_005	correct	1	1	legacy_path_correct_figure_counts
path_006	correct	1	1	legacy_path_correct_figure_counts
path_007	correct	1	1	legacy_path_correct_figure_counts
path_008	correct	1	1	legacy_path_correct_figure_counts
path_009	correct	1	1	legacy_path_correct_figure_counts
path_010	correct	1	1	legacy_path_correct_figure_counts
path_011	correct	1	1	legacy_path_correct_figure_counts
path_012	correct	1	1	legacy_path_correct_figure_counts
path_013	correct	1	1	legacy_path_correct_figure_counts
path_014	correct	1	1	legacy_path_correct_figure_counts
path_015	correct	1	1	legacy_path_correct_figure_counts
path_016	correct	1	1	legacy_path_correct_figure_counts
path_017	correct	1	1	legacy_path_correct_figure_counts
path_018	correct	1	1	legacy_path_correct_figure_counts
path_019	correct	1	1	legacy_path_correct_figure_counts
path_020	correct	1	1	legacy_path_correct_figure_counts
path_021	correct	1	1	legacy_path_correct_figure_counts
path_022	correct	1	1	legacy_path_correct_figure_counts
path_023	correct	1	1	legacy_path_correct_figure_counts
path_024	correct	1	1	legacy_path_correct_figure_counts
path_025	correct	1	1	legacy_path_correct_figure_counts
path_026	correct	1	1	legacy_path_correct_figure_counts
path_027	correct	1	1	legacy_path_correct_figure_counts
path_028	correct	1	1	legacy_path_correct_figure_counts
path_029	correct	1	1	legacy_path_correct_figure_counts
path_030	correct	2	1	legacy_path_correct_figure_counts
path_031	correct	2	1	legacy_path_correct_figure_counts
path_032	correct	2	1	legacy_path_correct_figure_counts
path_033	correct	2	1	legacy_path_correct_figure_counts
path_034	correct	2	1	legacy_path_correct_figure_counts
path_035	correct	2	1	legacy_path_correct_figure_counts
path_036	correct	2	1	legacy_path_correct_figure_counts
path_037	correct	2	1	legacy_path_correct_figure_counts
path_038	correct	2	1	legacy_path_correct_figure_counts
path_039	correct	2	1	legacy_path_correct_figure_counts
path_040	correct	2	1	legacy_path_correct_figure_counts
path_041	correct	2	1	legacy_path_correct_figure_counts
path_042	correct	2	1	legacy_path_correct_figure_counts
path_043	correct	2	1	legacy_path_correct_figure_counts
path_044	correct	2	1	legacy_path_correct_figure_counts
path_045	correct	2	1	legacy_path_correct_figure_counts
path_046	correct	2	1	legacy_path_correct_figure_counts
path_047	correct	2	1	legacy_path_correct_figure_counts
path_048	correct	2	1	legacy_path_correct_figure_counts
path_049	correct	2	1	legacy_path_correct_figure_counts
path_050	correct	2	1	legacy_path_correct_figure_counts
path_051	correct	2	1	legacy_path_correct_figure_counts
path_052	correct	2	1	legacy_path_correct_figure_counts
path_053	correct	2	1	legacy_path_correct_figure_counts
path_054	correct	2	1	legacy_path_correct_figure_counts
path_055	correct	2	1	legacy_path_correct_figure_counts
path_056	correct	2	1	legacy_path_correct_figure_counts
path_057	correct	2	1	legacy_path_correct_figure_counts
path_058	correct	2	1	legacy_path_correct_figure_counts
path_059	correct	2	1	legacy_path_correct_figure_counts
path_060	correct	2	1	legacy_path_correct_figure_counts
path_061	correct	2	1	legacy_path_correct_figure_counts
path_062	correct	2	1	legacy_path_correct_figure_counts
path_063	correct	2	1	legacy_path_correct_figure_counts
path_064	correct	2	1	legacy_path_correct_figure_counts
path_065	correct	2	1	legacy_path_correct_figure_counts
path_066	correct	2	1	legacy_path_correct_figure_counts
path_067	correct	2	1	legacy_path_correct_figure_counts
path_068	correct	2	1	legacy_path_correct_figure_counts
path_069	correct	2	1	legacy_path_correct_figure_counts
path_070	correct	2	1	legacy_path_correct_figure_counts
path_071	correct	2	1	legacy_path_correct_figure_counts
path_072	correct	2	1	legacy_path_correct_figure_counts
path_073	correct	2	1	legacy_path_correct_figure_counts
path_074	correct	2	1	legacy_path_correct_figure_counts
path_075	correct	2	1	legacy_path_correct_figure_counts
path_076	correct	2	1	legacy_path_correct_figure_counts
path_077	correct	2	1	legacy_path_correct_figure_counts
path_078	correct	2	1	legacy_path_correct_figure_counts
path_079	correct	2	1	legacy_path_correct_figure_counts
path_080	correct	2	1	legacy_path_correct_figure_counts
path_081	correct	2	1	legacy_path_correct_figure_counts
path_082	correct	2	1	legacy_path_correct_figure_counts
path_083	correct	2	1	legacy_path_correct_figure_counts
path_084	correct	2	1	legacy_path_correct_figure_counts
path_085	correct	2	1	legacy_path_correct_figure_counts
path_086	correct	2	1	legacy_path_correct_figure_counts
path_087	correct	2	1	legacy_path_correct_figure_counts
path_088	correct	3	1	legacy_path_correct_figure_counts
path_089	correct	3	1	legacy_path_correct_figure_counts
path_090	correct	3	1	legacy_path_correct_figure_counts
path_091	correct	3	1	legacy_path_correct_figure_counts
path_092	correct	3	1	legacy_path_correct_figure_counts
path_093	correct	3	1	legacy_path_correct_figure_counts
path_094	correct	3	1	legacy_path_correct_figure_counts
path_095	correct	3	1	legacy_path_correct_figure_counts
path_096	correct	3	1	legacy_path_correct_figure_counts
path_097	correct	3	1	legacy_path_correct_figure_counts
path_098	correct	3	1	legacy_path_correct_figure_counts
path_099	correct	4	1	legacy_path_correct_figure_counts
path_100	correct	4	1	legacy_path_correct_figure_counts
path_101	correct	null	0	legacy_path_correct_figure_counts
path_102	correct	null	0	legacy_path_correct_figure_counts
path_103	correct	null	0	legacy_path_correct_figure_counts
path_104	correct	null	0	legacy_path_correct_figure_counts
path_105	correct	null	0	legacy_path_correct_figure_counts
path_106	correct	null	0	legacy_path_correct_figure_counts
path_107	correct	null	0	legacy_path_correct_figure_counts
path_108	correct	null	0	legacy_path_correct_figure_counts
path_109	correct	null	0	legacy_path_correct_figure_counts
path_110	correct	null	0	legacy_path_correct_figure_counts
path_111	correct	null	0	legacy_path_correct_figure_counts
path_112	correct	null	0	legacy_path_correct_figure_counts
path_113	correct	null	0	legacy_path_correct_figure_counts
path_114	correct	null	0	legacy_path_correct_figure_counts
path_115	correct	null	0	legacy_path_correct_figure_counts
path_116	correct	null	0	legacy_path_correct_figure_counts
path_117	wrong	1	1	legacy_path_correct_figure_counts
path_118	wrong	1	1	legacy_path_correct_figure_counts
path_119	wrong	1	1	legacy_path_correct_figure_counts
path_120	wrong	1	1	legacy_path_correct_figure_counts
path_121	wrong	1	1	legacy_path_correct_figure_counts
path_122	wrong	1	1	legacy_path_correct_figure_counts
path_123	wrong	1	1	legacy_path_correct_figure_counts
path_124	wrong	1	1	legacy_path_correct_figure_counts
path_125	wrong	1	1	legacy_path_correct_figure_counts
path_126	wrong	1	1	legacy_path_correct_figure_counts
path_127	wrong	1	1	legacy_path_correct_figure_counts
path_128	wrong	1	1	legacy_path_correct_figure_counts
path_129	wrong	1	1	legacy_path_correct_figure_counts
path_130	wrong	1	1	legacy_path_correct_figure_counts
path_131	wrong	1	1	legacy_path_correct_figure_counts
path_132	wrong	1	1	legacy_path_correct_figure_counts
path_133	wrong	1	1	legacy_path_correct_figure_counts
path_134	wrong	1	1	legacy_path_correct_figure_counts
path_135	wrong	1	1	legacy_path_correct_figure_counts
path_136	wrong	1	1	legacy_path_correct_figure_counts
path_137	wrong	1	1	legacy_path_correct_figure_counts
path_138	wrong	1	1	legacy_path_correct_figure_counts
path_139	wrong	1	1	legacy_path_correct_figure_counts
path_140	wrong	1	1	legacy_path_correct_figure_counts
path_141	wrong	1	1	legacy_path_correct_figure_counts
path_142	wrong	1	1	legacy_path_correct_figure_counts
path_143	wrong	1	1	legacy_path_correct_figure_counts
path_144	wrong	1	1	legacy_path_correct_figure_counts
path_145	wrong	1	1	legacy_path_correct_figure_counts
path_146	wrong	1	1	legacy_path_correct_figure_counts
path_147	wrong	1	1	legacy_path_correct_figure_counts
path_148	wrong	1	1	legacy_path_correct_figure_counts
path_149	wrong	1	1	legacy_path_correct_figure_counts
path_150	wrong	1	1	legacy_path_correct_figure_counts
path_151	wrong	2	1	legacy_path_correct_figure_counts
path_152	wrong	2	1	legacy_path_correct_figure_counts
path_153	wrong	2	1	legacy_path_correct_figure_counts
path_154	wrong	2	1	legacy_path_correct_figure_counts
path_155	wrong	2	1	legacy_path_correct_figure_counts
path_156	wrong	2	1	legacy_path_correct_figure_counts
path_157	wrong	2	1	legacy_path_correct_figure_counts
path_158	wrong	2	1	legacy_path_correct_figure_counts
path_159	wrong	2	1	legacy_path_correct_figure_counts
path_160	wrong	2	1	legacy_path_correct_figure_counts
path_161	wrong	2	1	legacy_path_correct_figure_counts
path_162	wrong	2	1	legacy_path_correct_figure_counts
path_163	wrong	2	1	legacy_path_correct_figure_counts
path_164	wrong	2	1	legacy_path_correct_figure_counts
path_165	wrong	2	1	legacy_path_correct_figure_counts
path_166	wrong	2	1	legacy_path_correct_figure_counts
path_167	wrong	2	1	legacy_path_correct_figure_counts
path_168	wrong	2	1	legacy_path_correct_figure_counts
path_169	wrong	2	1	legacy_path_correct_figure_counts
path_170	wrong	2	1	legacy_path_correct_figure_counts
path_171	wrong	2	1	legacy_path_correct_figure_counts
path_172	wrong	2	1	legacy_path_correct_figure_counts
path_173	wrong	2	1	legacy_path_correct_figure_counts
path_174	wrong	2	1	legacy_path_correct_figure_counts
path_175	wrong	2	1	legacy_path_correct_figure_counts
path_176	wrong	2	1	legacy_path_correct_figure_counts
path_177	wrong	2	1	legacy_path_correct_figure_counts
path_178	wrong	2	1	legacy_path_correct_figure_counts
path_179	wrong	2	1	legacy_path_correct_figure_counts
path_180	wrong	2	1	legacy_path_correct_figure_counts
path_181	wrong	2	1	legacy_path_correct_figure_counts
path_182	wrong	2	1	legacy_path_correct_figure_counts
path_183	wrong	2	1	legacy_path_correct_figure_counts
path_184	wrong	2	1	legacy_path_correct_figure_counts
path_185	wrong	2	1	legacy_path_correct_figure_counts
path_186	wrong	2	1	legacy_path_correct_figure_counts
path_187	wrong	2	1	legacy_path_correct_figure_counts
path_188	wrong	2	1	legacy_path_correct_figure_counts
path_189	wrong	2	1	legacy_path_correct_figure_counts
path_190	wrong	2	1	legacy_path_correct_figure_counts
path_191	wrong	2	1	legacy_path_correct_figure_counts
path_192	wrong	2	1	legacy_path_correct_figure_counts
path_193	wrong	2	1	legacy_path_correct_figure_counts
path_194	wrong	2	1	legacy_path_correct_figure_counts
path_195	wrong	2	1	legacy_path_correct_figure_counts
path_196	wrong	2	1	legacy_path_correct_figure_counts
path_197	wrong	2	1	legacy_path_correct_figure_counts
path_198	wrong	2	1	legacy_path_correct_figure_counts
path_199	wrong	2	1	legacy_path_correct_figure_counts
path_200	wrong	2	1	legacy_path_correct_figure_counts
path_201	wrong	2	1	legacy_path_correct_figure_counts
path_202	wrong	2	1	legacy_path_correct_figure_counts
path_203	wrong	2	1	legacy_path_correct_figure_counts
path_204	wrong	2	1	legacy_path_correct_figure_counts
path_205	wrong	2	1	legacy_path_correct_figure_counts
path_206	wrong	2	1	legacy_path_correct_figure_counts
path_207	wrong	2	1	legacy_path_correct_figure_counts
path_208	wrong	2	1	legacy_path_correct_figure_counts
path_209	wrong	2	1	legacy_path_correct_figure_counts
path_210	wrong	2	1	legacy_path_correct_figure_counts
path_211	wrong	2	1	legacy_path_correct_figure_counts
path_212	wrong	2	1	legacy_path_correct_figure_counts
path_213	wrong	2	1	legacy_path_correct_figure_counts
path_214	wrong	3	1	legacy_path_correct_figure_counts
path_215	wrong	3	1	legacy_path_correct_figure_counts
path_216	wrong	3	1	legacy_path_correct_figure_counts
path_217	wrong	3	1	legacy_path_correct_figure_counts
path_218	wrong	3	1	legacy_path_correct_figure_counts
path_219	wrong	3	1	legacy_path_correct_figure_counts
path_220	wrong	3	1	legacy_path_correct_figure_counts
path_221	wrong	3	1	legacy_path_correct_figure_counts
path_222	wrong	3	1	legacy_path_correct_figure_counts
path_223	wrong	3	1	legacy_path_correct_figure_counts
path_224	wrong	3	1	legacy_path_correct_figure_counts
path_225	wrong	null	0	legacy_path_correct_figure_counts
path_226	wrong	null	0	legacy_path_correct_figure_counts
path_227	wrong	null	0	legacy_path_correct_figure_counts
path_228	wrong	null	0	legacy_path_correct_figure_counts
path_229	wrong	null	0	legacy_path_correct_figure_counts
path_230	wrong	null	0	legacy_path_correct_figure_counts
path_231	wrong	null	0	legacy_path_correct_figure_counts
path_232	wrong	null	0	legacy_path_correct_figure_counts
path_233	wrong	null	0	legacy_path_correct_figure_counts
path_234	wrong	null	0	legacy_path_correct_figure_counts
path_235	wrong	null	0	legacy_path_correct_figure_counts
path_236	wrong	null	0	legacy_path_correct_figure_counts
path_237	wrong	null	0	legacy_path_correct_figure_counts
path_238	wrong	null	0	legacy_path_correct_figure_counts
path_239	wrong	null	0	legacy_path_correct_figure_counts
path_240	wrong	null	0	legacy_path_correct_figure_counts
path_241	wrong	null	0	legacy_path_correct_figure_counts
path_242	wrong	null	0	legacy_path_correct_figure_counts
path_243	wrong	null	0	legacy_path_correct_figure_counts
path_244	wrong	null	0	legacy_path_correct_figure_counts
path_245	wrong	null	0	legacy_path_correct_figure_counts
path_246	wrong	null	0	legacy_path_correct_figure_counts
path_247	wrong	null	0	legacy_path_correct_figure_counts
path_248	wrong	null	0	legacy_path_correct_figure_counts
path_249	wrong	null	0	legacy_path_correct_figure_counts
path_250	wrong	null	0	legacy_path_correct_figure_counts
path_251	wrong	null	0	legacy_path_correct_figure_counts
path_252	wrong	null	0	legacy_path_correct_figure_counts
path_253	wrong	null	0	legacy_path_correct_figure_counts
path_254	wrong	null	0	legacy_path_correct_figure_counts
path_255	wrong	null	0	legacy_path_correct_figure_counts
path_256	wrong	null	0	legacy_path_correct_figure_counts
path_257	wrong	null	0	legacy_path_correct_figure_counts
path_258	wrong	null	0	legacy_path_correct_figure_counts
path_259	wrong	null	0	legacy_path_correct_figure_counts
path_260	wrong	null	0	legacy_path_correct_figure_counts
path_261	wrong	null	0	legacy_path_correct_figure_counts
path_262	wrong	null	0	legacy_path_correct_figure_counts
path_263	wrong	null	0	legacy_path_correct_figure_counts
path_264	wrong	null	0	legacy_path_correct_figure_counts
path_265	wrong	null	0	legacy_path_correct_figure_counts
path_266	wrong	null	0	legacy_path_correct_figure_counts
path_267	wrong	null	0	legacy_path_correct_figure_counts
path_268	wrong	null	0	legacy_path_correct_figure_counts
path_269	wrong	null	0	legacy_path_correct_figure_counts
path_270	wrong	null	0	legacy_path_correct_figure_counts
path_271	wrong	null	0	legacy_path_correct_figure_counts
path_272	wrong	null	0	legacy_path_correct_figure_counts
path_273	wrong	null	0	legacy_path_correct_figure_counts
path_274	wrong	null	0	legacy_path_correct_figure_counts
path_275	wrong	null	0	legacy_path_correct_figure_counts
path_276	wrong	null	0	legacy_path_correct_figure_counts
path_277	wrong	null	0	legacy_path_correct_figure_counts
path_278	wrong	null	0	legacy_path_correct_figure_counts
path_279	wrong	null	0	legacy_path_correct_figure_counts
path_280	wrong	null	0	legacy_path_correct_figure_counts
path_281	wrong	null	0	legacy_path_correct_figure_counts
path_282	wrong	null	0	legacy_path_correct_figure_counts
path_283	wrong	null	0	legacy_path_correct_figure_counts
path_284	wrong	null	0	legacy_path_correct_figure_counts
path_285	wrong	null	0	legacy_path_correct_figure_counts
path_286	wrong	null	0	legacy_path_correct_figure_counts
path_287	wrong	null	0	legacy_path_correct_figure_counts
path_288	wrong	null	0	legacy_path_correct_figure_counts
path_289	wrong	null	0	legacy_path_correct_figure_counts
path_290	wrong	null	0	legacy_path_correct_figure_counts
path_291	wrong	null	0	legacy_path_correct_figure_counts
path_292	wrong	null	0	legacy_path_correct_figure_counts
path_293	wrong	null	0	legacy_path_correct_figure_counts
path_294	wrong	null	0	legacy_path_correct_figure_counts
path_295	wrong	null	0	legacy_path_correct_figure_counts
path_296	wrong	null	0	legacy_path_correct_figure_counts
path_297	wrong	null	0	legacy_path_correct_figure_counts
path_298	wrong	null	0	legacy_path_correct_figure_counts
path_299	wrong	null	0	legacy_path_correct_figure_counts
path_300	wrong	null	0	legacy_path_correct_figure_counts
path_301	wrong	null	0	legacy_path_correct_figure_counts
path_302	wrong	null	0	legacy_path_correct_figure_counts
path_303	wrong	null	0	legacy_path_correct_figure_counts
path_304	wrong	null	0	legacy_path_correct_figure_counts
path_305	wrong	null	0	legacy_path_correct_figure_counts
path_306	wrong	null	0	legacy_path_correct_figure_counts
path_307	wrong	null	0	legacy_path_correct_figure_counts
path_308	wrong	null	0	legacy_path_correct_figure_counts
path_309	wrong	null	0	legacy_path_correct_figure_counts
path_310	wrong	null	0	legacy_path_correct_figure_counts
path_311	wrong	null	0	legacy_path_correct_figure_counts
path_312	wrong	null	0	legacy_path_correct_figure_counts
path_313	wrong	null	0	legacy_path_correct_figure_counts
path_314	wrong	null	0	legacy_path_correct_figure_counts
path_315	wrong	null	0	legacy_path_correct_figure_counts
path_316	wrong	null	0	legacy_path_correct_figure_counts
path_317	wrong	null	0	legacy_path_correct_figure_counts
path_318	wrong	null	0	legacy_path_correct_figure_counts
path_319	wrong	null	0	legacy_path_correct_figure_counts
path_320	wrong	null	0	legacy_path_correct_figure_counts
