instance_id	mentioned_gt_files	gt_files	hint_excerpt
astropy__astropy-13033	astropy/timeseries/core.py	astropy/timeseries/core.py	The relevant code that produces the misleading exception.    https://github.com/astropy/astropy/blob/00ccfe76113dca48d19396986872203dc2e978d7/astropy/timeseries/core.py#L77-L82    It works under the assumption that `time` is the only required column. So when a `TimeSeries` object has additional requ
astropy__astropy-13453	astropy/io/ascii/html.py	astropy/io/ascii/html.py	Welcome to Astropy  and thank you for your first issue!  A project member will respond to you as soon as possible; in the meantime, please double-check the [guidelines for submitting issues](https://github.com/astropy/astropy/blob/main/CONTRIBUTING.md#reporting-issues) and make sure you've provided
astropy__astropy-13579	astropy/wcs/wcsapi/wrappers/sliced_wcs.py	astropy/wcs/wcsapi/wrappers/sliced_wcs.py	A slightly shorter script to reproduce the issue is this (starting from the definition of `fits_wcs` in the OP):    ```python  sl = SlicedLowLevelWCS(fits_wcs, 0)  world = fits_wcs.pixel_to_world_values(0,0,0)  out_pix = sl.world_to_pixel_values(world[0], world[1])    assert np.allclose(out_pix[0], 
astropy__astropy-14369	astropy/units/format/cds.py	astropy/units/format/cds.py;astropy/units/format/cds_parsetab.py	Welcome to Astropy  and thank you for your first issue!  A project member will respond to you as soon as possible; in the meantime, please double-check the [guidelines for submitting issues](https://github.com/astropy/astropy/blob/main/CONTRIBUTING.md#reporting-issues) and make sure you've provided
astropy__astropy-14539	astropy/io/fits/diff.py	astropy/io/fits/diff.py	Seems due to the use of `Q`, only `P` is handled in the diff code. This:  ```  --- astropy/io/fits/diff.py  +++ astropy/io/fits/diff.py  @@ -1449,7 +1449,7 @@ class TableDataDiff(_BaseDiff):                   arrb.dtype, np.floating               ):                   diffs = where_not_allclose(arra,
astropy__astropy-8872	astropy/units/quantity.py	astropy/units/quantity.py	Hmm, it was added in gh-1776 (code in [l299](https://github.com/astropy/astropy/blob/master/astropy/units/quantity.py#L299) and [l379](https://github.com/astropy/astropy/blob/master/astropy/units/quantity.py#L379) by checking `np.can_cast(np.float32, value.dtype)`. From the discussion, it seems half
django__django-11179	django/db/models/deletion.py	django/db/models/deletion.py	Reproduced at 1ffddfc233e2d5139cc6ec31a4ec6ef70b10f87f. Regression in bc7dd8490b882b2cefdc7faf431dc64c532b79c9. Thanks for the report. Regression test. I have attached a simple fix which mimics what https://github.com/django/django/blob/master/django/db/models/deletion.py#L324-L326 does for multipl
django__django-11532	django/core/mail/utils.py	django/core/mail/message.py;django/core/mail/utils.py;django/core/validators.py;django/utils/encoding.py;django/utils/html.py	Thanks for the report. Simple encoding should fix this issue, e.g. diff --git a/django/core/mail/utils.py b/django/core/mail/utils.py index d18dfe4667..68f9e464d6 100644 --- a/django/core/mail/utils.py +++ b/django/core/mail/utils.py @@ -14,6 +14,10 @@ class CachedDnsName: def get_fqdn(self): if not
django__django-11728	django/contrib/admindocs/utils.py	django/contrib/admindocs/utils.py	Here's execution of the example code: (env) django-example$ python demo.py path: entries/(?P<pk>[^/.]+)/relationships/(?P<related_field>\w+) expected: entries/<pk>/relationships/<related_field> got: entries/<pk>/relationships/(?P<related_field>\w+) path_trailing: entries/(?P<pk>[^/.]+)/relationships
django__django-11815	django/db/migrations/serializer.py	django/db/migrations/serializer.py	Thanks for this report, however I'm not sure how translated values can brake migrations. Can you provide a sample project to reproduce this issue? Migrations with translatable strings works fine for me: >>> class TextEnum(enum.Enum): ... C = _('translatable value') ... >>> TextEnum(_('translatable v
django__django-12125	django/db/migrations/serializer.py	django/db/migrations/serializer.py	This should be possible to do by relying on __qualname__ (instead of __name__) now that master is Python 3 only. PR I think we should focus on using __qualname__ during migration serialization as well instead of simply solving the field subclasses case. In fb0f987: Fixed #27914 -- Added support for
django__django-12273	django/db/models/base.py	django/db/models/base.py	I'm not sure if this is a bug. The test passes after adding self.item_ptr = None to Item.reset(). Is that the behavior you're looking for? I agree with Tim here. It feels like what you're after is self.pk = None as it will be alias for self.item_ptr for Derived instances and self.uid for Item instan
django__django-12325	django/db/models/base.py	django/db/models/base.py;django/db/models/options.py	That seems to be a bug, managed to reproduce. Does the error go away if you add primary_key=True to document_ptr like I assume you wanted to do? This makes me realized that the MTI documentation is not completely correcy, the automatically added `place_ptr` field end up with `primary_key=True`. No
django__django-12663	django/db/models/sql/query.py	django/db/models/sql/query.py	I agree that this behavior was changed in 35431298226165986ad07e91f9d3aca721ff38ec, but you can easily create a test with SimpleLazyObject() (which is not a public API) and Subquery() that always fails with TypeError, e.g. def test_subquery_filter_by_lazy(self): test_user = SimpleLazyObject(lambda: 
django__django-12754	django/db/migrations/autodetector.py	django/db/migrations/autodetector.py	Tentatively accepted for a future investigation. I'm not sure if this is feasible because detecting changes related with models' bases are tricky. Moreover you will lose data with such change, so IMO it's preferable to handle this manually. Maybe the makemigrations could present some kind of info ab
django__django-13012	django/db/models/expressions.py	django/db/models/expressions.py	Can you confirm the following patch against master resolves your issue? diff --git a/django/db/models/expressions.py b/django/db/models/expressions.py index c1a76584f0..6bd1471692 100644 --- a/django/db/models/expressions.py +++ b/django/db/models/expressions.py @@ -863,6 +863,9 @@ class ExpressionW
django__django-13028	django/db/models/sql/query.py	django/db/models/sql/query.py	Thanks for the report, that's a nice edge case. We should be able to fix this by checking if rhs is an expression: diff --git a/django/db/models/sql/query.py b/django/db/models/sql/query.py index ce18098fd2..ad981377a0 100644 --- a/django/db/models/sql/query.py +++ b/django/db/models/sql/query.py @@
django__django-13033	django/db/models/sql/compiler.py	django/db/models/sql/compiler.py	This is with a postgres backend. Fairly vanilla Django. Some generic middleware installed (cors, csrf, auth, session). Apps are: INSTALLED_APPS = ( "django.contrib.contenttypes", "django.contrib.auth", "django.contrib.admin", "django.contrib.sessions", "django.contrib.messages", "django.contrib.stat
django__django-13112	django/db/models/fields/related.py	django/db/models/fields/related.py	Thanks for the report. Regression in 9e1b6b8a66af4c2197e5b1b41eb9dbb36e4f6502. Reproduced at fbe82f82555bc25dccb476c749ca062f0b522be3. Potential fix: diff --git a/django/db/models/fields/related.py b/django/db/models/fields/related.py index d517d7269b..894d931d50 100644 --- a/django/db/models/fields
django__django-13406	django/db/models/query.py	django/db/models/query.py	It seems that I have found the culprit. The queryset has an attribute _iterable_class, which in case of a .objects.all() type of query is ModelIterable, but when .values() is used, it should be ValuesIterable. Unfortunately, this is an attribute of the queryset, not of the query and thus it does not
